Method: __memset_avx2_unaligned_erms, Block ID: 1, Normal Time: 0.019, Slowdown Time: 0.006, Percentage Increase: -68.42105263157895%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 908, Normal Time: 0.125, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1932, Normal Time: 0.0, Slowdown Time: 0.006, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 911, Normal Time: 0.008, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 912, Normal Time: 0.011, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1937, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1938, Normal Time: 0.0, Slowdown Time: 0.004, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1939, Normal Time: 0.0, Slowdown Time: 0.003, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 916, Normal Time: 0.01, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 917, Normal Time: 0.019, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 918, Normal Time: 0.012, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 919, Normal Time: 0.025, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1943, Normal Time: 0.0, Slowdown Time: 0.005, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 920, Normal Time: 0.045, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 408, Normal Time: 0.0, Slowdown Time: 0.001, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1944, Normal Time: 0.0, Slowdown Time: 0.003, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 921, Normal Time: 0.014, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 922, Normal Time: 0.003, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 923, Normal Time: 0.01, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 411, Normal Time: 0.0, Slowdown Time: 0.005, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 924, Normal Time: 0.01, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 925, Normal Time: 0.019, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1950, Normal Time: 0.0, Slowdown Time: 0.038, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1952, Normal Time: 0.0, Slowdown Time: 0.009, Percentage Increase: 0.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 929, Normal Time: 0.69, Slowdown Time: 0.0, Percentage Increase: -100.0%
Method: io::reactivex::rxjava3::internal::operators::observable::ObservableFromIterable$FromIterableDisposable::run, Block ID: 1956, Normal Time: 0.0, Slowdown Time: 0.004, Percentage Increase: 0.0%
