benchmark,median_total_samples_bubo_off,median_total_samples_bubo_on
Mandelbrot,8446398,10823012

method,n_runs_off,median_samples_bubo_off,n_runs_on,median_samples_bubo_on,diff_on_minus_off,pct_change_vs_off
boolean java.lang.String::equals,3,59,3,54,-5,-8.47457627118644
com.oracle.svm.core.jni.headers.JNIObjectHandle com.oracle.svm.core.code.IsolateEnterStub::JNIFunctions_NewStringUTF_DjdZcV8DUjC9PGRgwwR996,2,33,1,38,5,15.151515151515152
java.io.PrintStream.write,1,36,1,31,-5,-13.88888888888889
java.lang.Math.round,3,40,2,35,-5,-12.5
java.lang.Object* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node::getNodeInfo,3,37,3,32,-5,-13.513513513513514
java.lang.Object* com.oracle.svm.core.genscavenge.ThreadLocalAllocation::slowPathNewInstance,2,37,3,32,-5,-13.513513513513514
java.lang.Object* java.util.ArrayList$Itr::next,3,77,3,82,5,6.493506493506493
java.lang.String::String,3,36,3,41,5,13.88888888888889
long LibGraalClassLoader_6d026701::jdk.graal.compiler.core.common.type.IntegerStamp::setOptionalBits,1,36,1,31,-5,-13.88888888888889
pthread_mutex_lock@@GLIBC_2.2.5,2,39,3,44,5,12.82051282051282
sun.nio.cs.StreamEncoder.write,3,40,1,35,-5,-12.5
vma_alloc_folio_[k],3,34,3,39,5,14.705882352941178
CodeHeap::find_blob,3,42,2,38,-4,-9.523809523809524
LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeClass$RawEdgesIterator::forward,3,58,3,62,4,6.896551724137931
__GI___pthread_cond_timedwait,1,23,2,27,4,17.391304347826086
boolean java.util.RegularEnumSet::contains,3,54,3,50,-4,-7.4074074074074066
int org.graalvm.collections.EconomicMapImpl::find,3,48,3,44,-4,-8.333333333333332
java.lang.Object* com.oracle.svm.core.genscavenge.ThreadLocalAllocation::allocateArraySlow,2,33,3,37,4,12.121212121212121
java.lang.String.getChars,3,48,3,52,4,8.333333333333332
java.nio.Buffer.<init>,3,40,3,36,-4,-10.0
jdk.internal.util.ArraysSupport.unsignedHashCode,3,59,3,63,4,6.779661016949152
mtree_range_walk_[k],3,62,3,66,4,6.451612903225806
readConfiguration0,3,114,3,118,4,3.508771929824561
void LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.cfg.ReversePostOrder::compute,2,40,2,44,4,10.0
void LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.schedule.SchedulePhase$Instance::processStack,3,47,3,43,-4,-8.51063829787234
HandleMark::initialize,1,32,2,35,3,9.375
Rewriter::scan_method,2,36,2,39,3,8.333333333333332
__get_user_8_[k],2,26,3,29,3,11.538461538461538
__handle_mm_fault_[k],3,53,3,56,3,5.660377358490567
__memcpy_avx_unaligned_erms,3,112,3,115,3,2.6785714285714284
__next_zones_zonelist_[k],3,31,2,34,3,9.67741935483871
_raw_spin_lock_[k],2,29,3,32,3,10.344827586206897
boolean org.graalvm.collections.EconomicMapImpl::compareKeys,3,103,3,106,3,2.912621359223301
int LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeIdAccessor::getNodeId,3,141,3,138,-3,-2.127659574468085
java.io.BufferedWriter.write,3,79,3,82,3,3.79746835443038
java.lang.Object* java.util.concurrent.ConcurrentHashMap::computeIfAbsent,3,40,3,43,3,7.5
java.nio.charset.CharsetEncoder.encode,3,41,3,38,-3,-7.317073170731707
java.util.concurrent.ConcurrentHashMap.get,2,38,1,35,-3,-7.894736842105263
void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeUsageIterator::advance,3,117,3,120,3,2.564102564102564
void LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.loop.LoopFragment::computeNodes,3,49,3,46,-3,-6.122448979591836
I2C/C2I adapters(0xb),3,48,3,50,2,4.166666666666666
JVMCIEnv::create_string,2,33,2,35,2,6.0606060606060606
LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.ValueNode* LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.PhiNode::valueAt,3,43,3,45,2,4.651162790697675
LibGraalClassLoader_6d026701::jdk.vm.ci.meta.ResolvedJavaMethod* LibGraalClassLoader_6d026701::jdk.graal.compiler.replacements.SnippetTemplate$AbstractTemplates::findMethod,3,79,3,81,2,2.5316455696202533
SymbolTable::lookup_only,3,32,1,30,-2,-6.25
__vfprintf_internal,3,41,3,43,2,4.878048780487805
blkcg_maybe_throttle_current_[k],2,24,1,26,2,8.333333333333332
copy_mc_enhanced_fast_string_[k],3,51,3,53,2,3.9215686274509802
do_user_addr_fault_[k],3,622,3,620,-2,-0.3215434083601286
futex_wake_[k],1,38,1,40,2,5.263157894736842
int java.lang.String::hashCode,2,30,3,32,2,6.666666666666667
java.io.FileOutputStream.write,2,38,1,36,-2,-5.263157894736842
java.lang.AbstractStringBuilder.append,3,77,3,75,-2,-2.5974025974025974
java.lang.Object* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeMap::get,3,67,3,65,-2,-2.9850746268656714
java.lang.Object* LibGraalClassLoader_6d026701::jdk.graal.compiler.options.OptionValues::get,3,62,3,60,-2,-3.225806451612903
mem_cgroup_handle_over_high_[k],2,60,3,58,-2,-3.3333333333333335
memchr_[k],3,81,3,83,2,2.4691358024691357
next_uptodate_page_[k],3,220,3,218,-2,-0.9090909090909091
sun.nio.cs.StreamEncoder.growByteBufferIfNeeded,3,40,2,42,2,5.0
void LibGraalClassLoader_6d026701::jdk.graal.compiler.debug.GraalError::guarantee,2,35,2,37,2,5.714285714285714
void LibGraalClassLoader_6d026701::jdk.graal.compiler.nodes.cfg.ControlFlowGraph::perBasicBlockFrequencyAction,1,31,1,33,2,6.451612903225806
void LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.common.util.EconomicSetNodeEventListener::changed,1,33,1,35,2,6.0606060606060606
void com.oracle.svm.core.genscavenge.remset.AlignedChunkRememberedSet::walkObjects,3,36,3,38,2,5.555555555555555
/usr/lib64/libz.so.1.2.11,3,37,3,36,-1,-2.7027027027027026
JNIAccessMark::JNIAccessMark,2,41,3,42,1,2.4390243902439024
JVMCIEnv::has_pending_exception,3,59,3,60,1,1.694915254237288
LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeUsageIterator::next,3,38,2,37,-1,-2.631578947368421
LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.schedule.SchedulePhase$Instance$MicroBlock* LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.schedule.SchedulePhase$Instance::processInputs,3,50,3,49,-1,-2.0
__GI___libc_malloc,3,48,3,49,1,2.083333333333333
__strlen_avx2,1,35,3,36,1,2.857142857142857
_int_malloc,3,37,2,36,-1,-2.7027027027027026
boolean java.util.regex.Pattern$CharPropertyGreedy::match,1,36,1,37,1,2.7777777777777777
filldir64_[k],3,61,3,60,-1,-1.639344262295082
java.io.PrintStream.println,2,35,1,34,-1,-2.857142857142857
java.io.PrintStream.writeln,3,50,3,49,-1,-2.0
java.lang.Object* java.lang.ClassValue::get,2,33,2,32,-1,-3.0303030303030303
java.lang.String.<init>,3,45,3,44,-1,-2.2222222222222223
