benchmark,nested_mode,comp_id,loop_id,comp_name,encoding,n_runs,median_loop_cycles
LoopBenchmarks,Nested,151,3,LoopBenchmarks.main(String[])-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0",2,121
LoopBenchmarks,Nested,151,4,LoopBenchmarks.main(String[])-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0",2,122
LoopBenchmarks,Nested,152,0,"LoopBenchmarks.matrixMultiplyLoop(double[][],","5:-1,3:-1,4:3,0:-1,1:0,2:1",2,9718277
LoopBenchmarks,Nested,152,1,"LoopBenchmarks.matrixMultiplyLoop(double[][],","5:-1,3:-1,4:3,0:-1,1:0,2:1",2,9709426
LoopBenchmarks,Nested,152,2,"LoopBenchmarks.matrixMultiplyLoop(double[][],","5:-1,3:-1,4:3,0:-1,1:0,2:1",2,8553887
LoopBenchmarks,Nested,152,3,"LoopBenchmarks.matrixMultiplyLoop(double[][],","5:-1,3:-1,4:3,0:-1,1:0,2:1",2,92134
LoopBenchmarks,Nested,152,4,"LoopBenchmarks.matrixMultiplyLoop(double[][],","5:-1,3:-1,4:3,0:-1,1:0,2:1",2,84518
LoopBenchmarks,Nested,152,5,"LoopBenchmarks.matrixMultiplyLoop(double[][],","5:-1,3:-1,4:3,0:-1,1:0,2:1",2,1310
LoopBenchmarks,Nested,153,0,"LoopBenchmarks.matrixMultiplyLoop(double[][],-Re-Comp","0:-1,1:0,2:1",2,13059812327
LoopBenchmarks,Nested,153,1,"LoopBenchmarks.matrixMultiplyLoop(double[][],-Re-Comp","0:-1,1:0,2:1",2,13046291025
LoopBenchmarks,Nested,153,2,"LoopBenchmarks.matrixMultiplyLoop(double[][],-Re-Comp","0:-1,1:0,2:1",2,11647836021
LoopBenchmarks,Nested,155,0,"LoopBenchmarks.sieveLoop(boolean[],","0:-1,1:-1,2:-1",2,72
LoopBenchmarks,Nested,156,0,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp","0:-1,4:-1,5:-1,1:-1,2:1,3:-1",2,28016
LoopBenchmarks,Nested,156,1,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp","0:-1,4:-1,5:-1,1:-1,2:1,3:-1",2,6391183716
LoopBenchmarks,Nested,156,2,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp","0:-1,4:-1,5:-1,1:-1,2:1,3:-1",2,6345275275
LoopBenchmarks,Nested,156,3,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp","0:-1,4:-1,5:-1,1:-1,2:1,3:-1",2,4005771608
LoopBenchmarks,Nested,156,4,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp","0:-1,4:-1,5:-1,1:-1,2:1,3:-1",2,986292773
LoopBenchmarks,Nested,156,5,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp","0:-1,4:-1,5:-1,1:-1,2:1,3:-1",2,41848
LoopBenchmarks,Nested,157,0,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp",0:-1,2,1703223
LoopBenchmarks,Nested,158,0,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp","1:-1,0:-1,2:0",2,97
LoopBenchmarks,Nested,158,1,"LoopBenchmarks.sieveLoop(boolean[],-Re-Comp","1:-1,0:-1,2:0",2,1127099
