"block_id","pos_index","address_timed","asm_timed_raw","time_sec","address_summary","asm_summary_raw","has_source","source"
"37","0","","mov edi, dword ptr [rsi+0x14]","0.071","","cmp r10d, 2; jb 0xa","",""
"37","1","","nop dword ptr [rax+rax*1]","0.035","","","",""
"37","2","","cmp r10d, dword ptr [rdi*8+0xc]","0.035","","","",""
"37","3","","jnb 0x7faf280c32e5 <Block 147>","","","","",""
"30","0","","mov r8d, dword ptr [rsp+0x30]","0.051","","mov edi, dword ptr [rsi + 0x18]; cmp dword ptr [rdi*8 + 0xc], 2; jb 0xe","",""
"30","1","","mov ecx, dword ptr [rsi+0xc]","0.147","","","",""
"30","2","","cmp r8d, dword ptr [rcx*8+0xc]","0.063","","","",""
"30","3","","jnb 0x7faf280c3278 <Block 141>","","","","",""
"31","0","","nop word ptr [rax+rax*1]","0.146","","","",""
"31","1","","cmp byte ptr [r8+rcx*8+0x10], 0x0","0.058","","","",""
"31","2","","jz 0x7faf280c2bc5 <Block 65>","0.175","","","",""
"2","0","","mov dword ptr [rsp-0x14000], eax","0.419","","mov r11d, r10d; shl r11, 3; mov r8d, edx; inc r8d; mov dword ptr [rsp + 0x30], r8d; lea r9d, [rdx + 7]; mov dword ptr [rsp + 0x2c], r9d; nop word ptr [rax + rax]; cmp byte ptr [r10*8 + 0x10], 0; jne 0x1a","",""
"2","1","","sub rsp, 0x48","0.455","","","",""
"2","2","","cmp dword ptr [r15+0x20], 0x1","0.258","","","",""
"2","3","","jnz 0x7faf280c34b8 <Block 176>","0.168","","","",""
"32","0","","mov ebx, dword ptr [rsi+0x14]","0.042","","mov dword ptr [rdi*8 + 0x14], edx; mov byte ptr [r11 + 0x11], 0; mov byte ptr [r8 + rcx*8 + 0x10], 0; mov byte ptr [r10 + rbx*8 + 0x10], 0; cmp edx, 7; je 9","",""
"32","1","","cmp r10d, dword ptr [rbx*8+0xc]","0.035","","","",""
"32","2","","jnb 0x7faf280c3278 <Block 141>","","","","",""
"1","0","","mov r10d, dword ptr [rsi+0x8]","","","","",""
"1","1","","mov r12, 0x7faeb7000000","","","","",""
"1","2","","add r10, r12","","","","",""
"1","3","","xor r12, r12","","","","",""
"1","4","","cmp rax, r10","","","","",""
"1","5","","jnz 0x7faf2804e080 <ic_miss_stub>","","","","",""
"33","0","","data16 nop","0.088","","","",""
"33","1","","cmp byte ptr [r10+rbx*8+0x10], 0x0","0.023","","","",""
"33","2","","jnz 0x7faf280c2cbd <Block 77>","0.066","","","",""
"209","0","","nop dword ptr [rax+rax*1]","","","","",""
"209","1","","mov dword ptr [r15+0x484], 0xfffffff5","","","","",""
"209","2","","mov qword ptr [r15+0x490], 0x0","","","","",""
"209","3","","call 0x7faf2805417a","","","","",""
