"vtune_block_id","graal_block_id","line_index","line_text","line_time","source"
"9","42","7","jnz 0x7faf280c29b4 <Block 35>","0.312","at Queens.getRowColumn(int, int) [bci: 6]"
"115","117","1","cmp r11d, 0x6","0.048","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"115","117","2","jb 0x7faf280c337d <Block 155>","","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"116","119","1","mov byte ptr [rdx*8+0x15], 0x1","0.032","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"116","119","2","mov byte ptr [r10+r8*8+0x10], 0x1","0.043","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"116","119","3","mov byte ptr [rcx+r9*8+0x10], 0x1","0.037","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"116","119","4","shl rdx, 0x3","0.039","at Queens.setRowColumn(int, int, boolean) [bci: 1]"
"116","119","5","mov r11, rdx","0.012","null"
"116","119","6","jmp 0x7faf280c28b6 <Block 18>","0.011","at Queens.placeQueen(int) [bci: 58]"
"113","115","1","mov r10d, dword ptr [rsp+0x18]","0.030","null"
"113","115","2","mov rsi, qword ptr [rsp]","0.041","null"
"113","115","3","mov edx, dword ptr [rsi+0x10]","0.023","at Queens.setRowColumn(int, int, boolean) [bci: 1]"
"113","115","4","mov r11d, dword ptr [rdx*8+0xc]","0.034","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"113","115","5","mov r8d, dword ptr [rsi+0xc]","0.078","at Queens.setRowColumn(int, int, boolean) [bci: 8]"
"113","115","6","cmp r10d, dword ptr [r8*8+0xc]","0.015","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"113","115","7","jnb 0x7faf280c337d <Block 155>","","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"114","116","1","mov ecx, dword ptr [rsp+0x14]","0.090","null"
"114","116","2","mov r9d, dword ptr [rsi+0x14]","0.026","at Queens.setRowColumn(int, int, boolean) [bci: 17]"
"114","116","3","cmp ecx, dword ptr [r9*8+0xc]","0.006","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"114","116","4","jnb 0x7faf280c337d <Block 155>","","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"119","134","1","mov r11, rsi","0.057","null"
"119","134","2","mov edx, r8d","0.025","at Queens.placeQueen(int) [bci: 43]"
"119","134","3","nop","0.030","at Queens.placeQueen(int) [bci: 43]"
"119","134","4","call 0x7faf2804e380 <resolve_opt_virtual_call>","0.025","at Queens.placeQueen(int) [bci: 43]"
"117","130","1","mov ecx, dword ptr [rsi+0x18]","0.024","at Queens.placeQueen(int) [bci: 18]"
"117","130","2","cmp dword ptr [rcx*8+0xc], 0x7","0.034","at Queens.placeQueen(int) [bci: 23]"
"117","130","3","jb 0x7faf280c3251 <Block 139>","0.061","at Queens.placeQueen(int) [bci: 23]"
"118","132","1","mov ebx, dword ptr [rsp+0x34]","0.019","null"
"118","132","2","mov dword ptr [rcx*8+0x28], ebx","0.042","at Queens.placeQueen(int) [bci: 23]"
"118","132","3","mov byte ptr [r11+0x16], 0x0","0.057","at Queens.setRowColumn(int, int, boolean) [bci: 6]"
"118","132","4","mov byte ptr [r10+rdx*8+0x10], 0x0","0.029","at Queens.setRowColumn(int, int, boolean) [bci: 15]"
"118","132","5","mov byte ptr [r8+r9*8+0x10], 0x0","0.021","at Queens.setRowColumn(int, int, boolean) [bci: 27]"
"118","132","6","cmp ebx, 0x7","0.041","at Queens.placeQueen(int) [bci: 34]"
"118","132","7","jz 0x7faf280c3212 <Block 135>","","at Queens.placeQueen(int) [bci: 34]"
"38","48","1","cmp byte ptr [r10+rdi*8+0x10], 0x0","0.131","at Queens.placeQueen(int) [bci: 14]"
"38","48","2","jnz 0x7faf280c2d78 <Block 85>","0.072","at Queens.placeQueen(int) [bci: 14]"
