benchmark,mode,run_name,file_path,total_cycles,bench_method,comp_id,comp_name,encoding,outer_loop_id,outer_loop_cycles,comp_sum_loop_cycles
LoopStep,NoNested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2_NoNested.txt,202688465432,bench10,147,InnerLoopStepBenchmark.bench10()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,60296096,60296408
LoopStep,NoNested,run2,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run2_NoNested.txt,202688465432,bench11,151,InnerLoopStepBenchmark.bench11()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,120756438,120756748
LoopStep,NoNested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3_NoNested.txt,202859108584,bench1,115,InnerLoopStepBenchmark.bench1(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,576,906
LoopStep,NoNested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3_NoNested.txt,202859108584,bench2,119,InnerLoopStepBenchmark.bench2()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,5370,5872
LoopStep,NoNested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3_NoNested.txt,202859108584,bench3,122,InnerLoopStepBenchmark.bench3()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,7938,8192
LoopStep,NoNested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3_NoNested.txt,202859108584,bench4,125,InnerLoopStepBenchmark.bench4()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,97924,98164
LoopStep,NoNested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3_NoNested.txt,202859108584,bench5,126,InnerLoopStepBenchmark.bench5(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,159198,159522
LoopStep,NoNested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3_NoNested.txt,202859108584,bench6,130,InnerLoopStepBenchmark.bench6()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,456280,456596
LoopStep,NoNested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3_NoNested.txt,202859108584,bench7,134,InnerLoopStepBenchmark.bench7()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,1021826,1022100
LoopStep,NoNested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3_NoNested.txt,202859108584,bench8,138,InnerLoopStepBenchmark.bench8()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,5907394,5907710
LoopStep,NoNested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3_NoNested.txt,202859108584,bench9,142,InnerLoopStepBenchmark.bench9()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,11953000,11953294
LoopStep,NoNested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3_NoNested.txt,202859108584,bench10,147,InnerLoopStepBenchmark.bench10()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,60302934,60303248
LoopStep,NoNested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3_NoNested.txt,202859108584,bench11,151,InnerLoopStepBenchmark.bench11()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",3,120789746,120790046
