benchmark,mode,run_name,file_path,total_cycles,bench_method,comp_id,comp_name,encoding,selected_loop_id,selected_loop_cycles
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench14,143,InnerLoopStepBenchmark.bench14()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,242053990
LoopStep,Nested,run3,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run3.txt,2302024484,bench15,147,InnerLoopStepBenchmark.bench15()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,603845066
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench1,113,InnerLoopStepBenchmark.bench1(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,1327804
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench2,115,InnerLoopStepBenchmark.bench2(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,1982368
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench3,117,InnerLoopStepBenchmark.bench3(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,2870228
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench4,119,InnerLoopStepBenchmark.bench4(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,4189126
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench5,123,InnerLoopStepBenchmark.bench5()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,5898812
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench6,124,InnerLoopStepBenchmark.bench6(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,9294608
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench7,126,InnerLoopStepBenchmark.bench7(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,13548084
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench8,128,InnerLoopStepBenchmark.bench8(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,19605762
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench9,130,InnerLoopStepBenchmark.bench9(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,29291504
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench10,132,InnerLoopStepBenchmark.bench10(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,43820922
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench11,134,InnerLoopStepBenchmark.bench11(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,65586144
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench12,136,InnerLoopStepBenchmark.bench12(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,98230772
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench13,140,InnerLoopStepBenchmark.bench13()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,145154500
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench14,143,InnerLoopStepBenchmark.bench14()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,241851850
LoopStep,Nested,run4,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run4.txt,2301140532,bench15,147,InnerLoopStepBenchmark.bench15()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,604141818
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench1,113,InnerLoopStepBenchmark.bench1(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,1347346
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench2,115,InnerLoopStepBenchmark.bench2(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,2013140
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench3,117,InnerLoopStepBenchmark.bench3(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,2852546
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench4,119,InnerLoopStepBenchmark.bench4(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,4217362
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench5,123,InnerLoopStepBenchmark.bench5()-Re-Comp,"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,5929744
LoopStep,Nested,run5,/home/hb478/repos/BuboExperiments/BuboLoopStepOeverhead/Data/run5.txt,2298326132,bench6,124,InnerLoopStepBenchmark.bench6(),"2:-1,3:-1,4:-1,0:-1,1:0,5:0,6:0",0,9274566
