Benchmark,Index,Activation Count
DeltaBlue,java.lang.module.ModuleDescriptor$Exports.source(),10990
DeltaBlue,java.lang.module.ModuleDescriptor$Exports.targets(),8954
DeltaBlue,java.lang.module.ModuleDescriptor.provides(),300
DeltaBlue,java.lang.module.ModuleDescriptor.exports(),390
DeltaBlue,java.util.Objects.requireNonNull(Object),11470
DeltaBlue,java.util.ImmutableCollections$SetN$SetNIterator.hasNext(),31911
DeltaBlue,java.lang.module.ModuleDescriptor.uses(),68
DeltaBlue,java.util.ImmutableCollections$SetN$SetNIterator.next(),209807
DeltaBlue,java.util.HashMap.hash(Object),20110
DeltaBlue,java.lang.module.ModuleDescriptor$Exports.isQualified(),12970
DeltaBlue,java.lang.module.ModuleDescriptor$Provides.service(),146
DeltaBlue,java.lang.Byte.toUnsignedInt(byte),25992
DeltaBlue,"java.util.HashMap.putVal(int,",56143
DeltaBlue,"java.util.HashMap$Node.<init>(int,",355
DeltaBlue,java.lang.String.equals(Object),6956
DeltaBlue,java.util.KeyValueHolder.getKey(),130
DeltaBlue,java.util.KeyValueHolder.getValue(),58
DeltaBlue,java.lang.module.ModuleDescriptor.packages(),296
DeltaBlue,java.lang.module.ResolvedModule.reference(),560
DeltaBlue,java.lang.module.ModuleDescriptor$Version.toString(),60
DeltaBlue,java.lang.AbstractStringBuilder.length(),1246
DeltaBlue,"java.util.HashMap.newNode(int,",8370
DeltaBlue,java.util.HashMap.afterNodeInsertion(boolean),1674
DeltaBlue,java.util.HashMap.resize(),14104
DeltaBlue,java.lang.module.ResolvedModule.configuration(),94
DeltaBlue,java.lang.module.ModuleDescriptor.isOpen(),36
DeltaBlue,java.util.HashMap.size(),28
DeltaBlue,jdk.internal.classfile.impl.AbstractPoolEntry.width(),2074
DeltaBlue,jdk.internal.classfile.impl.SplitConstantPool.size(),5154
DeltaBlue,java.lang.invoke.MethodType.ptypes(),290
DeltaBlue,java.util.zip.ZipCoder$UTF8ZipCoder.isUTF8(),57
DeltaBlue,java.lang.AbstractStringBuilder.getValue(),482
DeltaBlue,"java.lang.StringLatin1.equals(byte[],",20669
DeltaBlue,jdk.internal.classfile.impl.AbstractPoolEntry.constantPool(),1804
